id_equipo,temporada,liga,nombre
0,2022,primera,Real-Madrid
1,2022,primera,Barcelona
2,2022,primera,Atletico-Madrid
3,2022,primera,Sevilla
4,2022,primera,Betis
5,2022,primera,Real-Sociedad
6,2022,primera,Villarreal
7,2022,primera,Athletic-Bilbao
8,2022,primera,Valencia-Cf
9,2022,primera,Osasuna
10,2022,primera,Celta
11,2022,primera,Rayo-Vallecano
12,2022,primera,Elche
13,2022,primera,Espanyol
14,2022,primera,Getafe
15,2022,primera,Mallorca
16,2022,primera,Cadiz
17,2022,primera,Granada
18,2022,primera,Levante
19,2022,primera,Alaves
