Club,Valor_mercado_total_millones
Real Madrid CF,770.75
FC Barcelona,735.60
Atlético de Madrid,661.80
Villarreal CF,408.90
Sevilla FC,385.00
Real Sociedad,376.95
Valencia CF,310.60
Real Betis Balompié,259.00
Athletic Club,226.05
Getafe CF,208.68
RCD Espanyol,131.60
RC Celta de Vigo,120.00
CA Osasuna,108.45
Granada CF,103.75
Levante UD,77.90
RCD Mallorca,74.15
Elche CF,72.98
Cádiz CF,67.80
Rayo Vallecano,67.20
Deportivo Alavés,65.35
