Club,Valor_mercado_total_millones
Villarreal CF,408.9
Sevilla FC,385.0
Real Sociedad,376.95
Valencia CF,310.6
Real Betis Balompié,259.0
Athletic Club,226.05
Getafe CF,208.68
RCD Espanyol,131.6
RC Celta de Vigo,120.0
CA Osasuna,108.45
Granada CF,103.75
Levante UD,77.9
RCD Mallorca,74.15
Elche CF,72.98
Cádiz CF,67.8
Rayo Vallecano,67.2
Deportivo Alavés,65.35
