Club,Valor_mercado_total_millones
Bayern München,777.33
Borussia Dortmund,654.05
RB Leipzig,570.48
Bayer 04 Leverkusen,398.95
Borussia Mönchengladbach,254.70
TSG 1899 Hoffenheim,226.05
FC Schalke 04,221.58
Hertha Berlín,217.90
Eintracht Fráncfort,208.98
VfL Wolfsburgo,207.60
SV Werder Bremen,135.13
SC Friburgo,122.65
1.FSV Mainz 05,121.50
FC Augsburgo,112.95
FC Colonia,98.44
Fortuna Düsseldorf,71.78
1.FC Unión Berlín,41.20
SC Paderborn 07,28.90
