id_partido,fecha,temporada,liga,jornada,id_equipo_local,id_equipo_visitante,finalizado
0,2019-08-16,2020,bundesliga,1,0,9,1
1,2019-08-17,2020,bundesliga,1,1,14,1
2,2019-08-17,2020,bundesliga,1,4,17,1
3,2019-08-17,2020,bundesliga,1,3,11,1
4,2019-08-17,2020,bundesliga,1,6,13,1
5,2019-08-17,2020,bundesliga,1,15,16,1
6,2019-08-17,2020,bundesliga,1,7,12,1
7,2019-08-18,2020,bundesliga,1,10,2,1
8,2019-08-18,2020,bundesliga,1,8,5,1
16,2019-08-23,2020,bundesliga,2,13,1,1
17,2019-08-24,2020,bundesliga,2,17,7,1
15,2019-08-24,2020,bundesliga,2,14,10,1
14,2019-08-24,2020,bundesliga,2,11,0,1
10,2019-08-24,2020,bundesliga,2,5,15,1
11,2019-08-24,2020,bundesliga,2,16,4,1
13,2019-08-24,2020,bundesliga,2,12,3,1
12,2019-08-25,2020,bundesliga,2,9,6,1
9,2019-08-25,2020,bundesliga,2,2,8,1
20,2019-08-30,2020,bundesliga,3,3,2,1
26,2019-08-31,2020,bundesliga,3,6,17,1
24,2019-08-31,2020,bundesliga,3,10,1,1
23,2019-08-31,2020,bundesliga,3,11,9,1
19,2019-08-31,2020,bundesliga,3,0,12,1
18,2019-08-31,2020,bundesliga,3,4,5,1
22,2019-08-31,2020,bundesliga,3,7,13,1
21,2019-09-01,2020,bundesliga,3,8,16,1
25,2019-09-01,2020,bundesliga,3,15,14,1
29,2019-09-13,2020,bundesliga,4,16,6,1
35,2019-09-14,2020,bundesliga,4,10,15,1
27,2019-09-14,2020,bundesliga,4,14,8,1
28,2019-09-14,2020,bundesliga,4,1,4,1
30,2019-09-14,2020,bundesliga,4,13,3,1
32,2019-09-14,2020,bundesliga,4,12,9,1
34,2019-09-14,2020,bundesliga,4,2,0,1
31,2019-09-15,2020,bundesliga,4,5,7,1
33,2019-09-15,2020,bundesliga,4,17,11,1
42,2019-09-20,2020,bundesliga,5,11,12,1
41,2019-09-21,2020,bundesliga,5,9,17,1
43,2019-09-21,2020,bundesliga,5,15,2,1
40,2019-09-21,2020,bundesliga,5,7,14,1
37,2019-09-21,2020,bundesliga,5,0,13,1
36,2019-09-21,2020,bundesliga,5,4,10,1
38,2019-09-22,2020,bundesliga,5,3,16,1
39,2019-09-22,2020,bundesliga,5,8,1,1
44,2019-09-23,2020,bundesliga,5,6,5,1
53,2019-09-27,2020,bundesliga,6,10,8,1
45,2019-09-28,2020,bundesliga,6,14,4,1
46,2019-09-28,2020,bundesliga,6,1,15,1
49,2019-09-28,2020,bundesliga,6,5,3,1
50,2019-09-28,2020,bundesliga,6,12,6,1
51,2019-09-28,2020,bundesliga,6,17,0,1
52,2019-09-28,2020,bundesliga,6,2,11,1
47,2019-09-29,2020,bundesliga,6,16,7,1
48,2019-09-29,2020,bundesliga,6,13,9,1
59,2019-10-04,2020,bundesliga,7,9,16,1
61,2019-10-05,2020,bundesliga,7,11,13,1
60,2019-10-05,2020,bundesliga,7,17,12,1
58,2019-10-05,2020,bundesliga,7,7,1,1
55,2019-10-05,2020,bundesliga,7,0,5,1
54,2019-10-05,2020,bundesliga,7,4,2,1
56,2019-10-06,2020,bundesliga,7,3,14,1
57,2019-10-06,2020,bundesliga,7,8,15,1
62,2019-10-06,2020,bundesliga,7,6,10,1
66,2019-10-18,2020,bundesliga,8,8,4,1
64,2019-10-19,2020,bundesliga,8,1,3,1
65,2019-10-19,2020,bundesliga,8,16,12,1
69,2019-10-19,2020,bundesliga,8,2,6,1
70,2019-10-19,2020,bundesliga,8,10,7,1
71,2019-10-19,2020,bundesliga,8,15,9,1
63,2019-10-19,2020,bundesliga,8,14,0,1
67,2019-10-20,2020,bundesliga,8,13,17,1
68,2019-10-20,2020,bundesliga,8,5,11,1
77,2019-10-25,2020,bundesliga,9,12,13,1
79,2019-10-26,2020,bundesliga,9,11,1,1
78,2019-10-26,2020,bundesliga,9,17,16,1
76,2019-10-26,2020,bundesliga,9,9,5,1
73,2019-10-26,2020,bundesliga,9,0,10,1
75,2019-10-26,2020,bundesliga,9,7,2,1
72,2019-10-26,2020,bundesliga,9,4,15,1
80,2019-10-27,2020,bundesliga,9,6,14,1
74,2019-10-27,2020,bundesliga,9,3,8,1
86,2019-11-01,2020,bundesliga,10,5,17,1
82,2019-11-02,2020,bundesliga,10,4,3,1
83,2019-11-02,2020,bundesliga,10,1,6,1
85,2019-11-02,2020,bundesliga,10,8,0,1
87,2019-11-02,2020,bundesliga,10,2,12,1
88,2019-11-02,2020,bundesliga,10,10,9,1
89,2019-11-02,2020,bundesliga,10,15,7,1
81,2019-11-03,2020,bundesliga,10,14,11,1
84,2019-11-03,2020,bundesliga,10,16,13,1
92,2019-11-08,2020,bundesliga,11,13,5,1
97,2019-11-09,2020,bundesliga,11,11,16,1
96,2019-11-09,2020,bundesliga,11,17,14,1
94,2019-11-09,2020,bundesliga,11,9,2,1
95,2019-11-09,2020,bundesliga,11,12,10,1
90,2019-11-09,2020,bundesliga,11,0,1,1
91,2019-11-10,2020,bundesliga,11,3,15,1
98,2019-11-10,2020,bundesliga,11,6,4,1
93,2019-11-10,2020,bundesliga,11,7,8,1
101,2019-11-22,2020,bundesliga,12,1,17,1
100,2019-11-23,2020,bundesliga,12,4,7,1
102,2019-11-23,2020,bundesliga,12,16,0,1
103,2019-11-23,2020,bundesliga,12,8,6,1
105,2019-11-23,2020,bundesliga,12,2,13,1
106,2019-11-23,2020,bundesliga,12,10,3,1
107,2019-11-23,2020,bundesliga,12,15,11,1
99,2019-11-24,2020,bundesliga,12,14,9,1
104,2019-11-24,2020,bundesliga,12,5,12,1
115,2019-11-29,2020,bundesliga,13,11,10,1
114,2019-11-30,2020,bundesliga,13,17,2,1
112,2019-11-30,2020,bundesliga,13,5,16,1
111,2019-11-30,2020,bundesliga,13,9,1,1
110,2019-11-30,2020,bundesliga,13,13,14,1
108,2019-11-30,2020,bundesliga,13,0,4,1
116,2019-12-01,2020,bundesliga,13,6,15,1
109,2019-12-01,2020,bundesliga,13,3,7,1
113,2019-12-02,2020,bundesliga,13,12,8,1
121,2019-12-06,2020,bundesliga,14,8,9,1
117,2019-12-07,2020,bundesliga,14,14,12,1
118,2019-12-07,2020,bundesliga,14,4,11,1
119,2019-12-07,2020,bundesliga,14,3,0,1
122,2019-12-07,2020,bundesliga,14,7,6,1
123,2019-12-07,2020,bundesliga,14,2,5,1
