id_jugador,nombre,posicion,id_equipo
180,Steven Zuber,Delantero,5
181,K. Casteels,Portero,6
182,L. Kasten,Portero,6
183,Niklas Klinger,Portero,6
184,P. Menzel,Portero,6
185,Pavao Pervan,Portero,6
186,J. Brooks,Defensa,6
187,J. Roussillon,Defensa,6
188,Kevin Mbabu,Defensa,6
189,L. Horn,Defensa,6
190,M. Pongračić,Defensa,6
191,M. Tisserand,Defensa,6
192,Paulo Otávio,Defensa,6
193,R. Knoche,Defensa,6
194,William,Defensa,6
195,I. Azzaoui,Centrocampista,6
196,I. Camacho,Centrocampista,6
197,Iba May,Centrocampista,6
198,J. Guilavogui,Centrocampista,6
199,Julian Justvan,Centrocampista,6
200,M. Arnold,Centrocampista,6
201,X. Schlager,Centrocampista,6
202,Y. Gerhardt,Centrocampista,6
203,A. Mehmedi,Delantero,6
204,Daniel Ginczek,Delantero,6
205,Felix Klaus,Delantero,6
206,João Victor,Delantero,6
207,Josip Brekalo,Delantero,6
208,M. Karamoko,Delantero,6
209,O. Marmoush,Delantero,6
210,R. Steffen,Delantero,6
211,Ulysses Llanez,Delantero,6
212,W. Weghorst,Delantero,6
213,A. Schwolow,Portero,7
214,Mark Flekken,Portero,7
215,Niclas Thiede,Portero,7
216,C. Günter,Defensa,7
217,D. Heintz,Defensa,7
218,Gian-Luca Itter,Defensa,7
219,J. Schmid,Defensa,7
220,Lukas Kübler,Defensa,7
221,Manuel Gulde,Defensa,7
222,N. Schlotterbeck,Defensa,7
223,P. Lienhart,Defensa,7
224,Robin Koch,Defensa,7
225,A. Abrashi,Centrocampista,7
226,J. Haberer,Centrocampista,7
227,L. Tempelmann,Centrocampista,7
228,M. Frantz,Centrocampista,7
229,Nicolas Höfler,Centrocampista,7
230,Yannik Keitel,Centrocampista,7
231,B. Borrello,Delantero,7
232,Chang-Hoon Kwon,Delantero,7
233,F. Kath,Delantero,7
234,Luca Waldschmidt,Delantero,7
235,Lucas Höler,Delantero,7
236,N. Petersen,Delantero,7
237,Roland Sallai,Delantero,7
238,Vincenzo Grifo,Delantero,7
239,Y. Ravet,Delantero,7
240,F. Rønnow,Portero,8
241,F. Wiedwald,Portero,8
242,J. Zimmermann,Portero,8
243,Kevin Trapp,Portero,8
244,A. Touré,Defensa,8
245,D. Abraham,Defensa,8
246,D. Da Costa,Defensa,8
247,Erik Durm,Defensa,8
248,Evan Ndicka,Defensa,8
249,Filip Kostić,Defensa,8
250,M. Hinteregger,Defensa,8
251,M. Russ,Defensa,8
252,Makoto Hasebe,Defensa,8
253,T. Chandler,Defensa,8
254,D. Kamada,Centrocampista,8
255,Djibril Sow,Centrocampista,8
256,Dominik Kohr,Centrocampista,8
257,G. Fernandes,Centrocampista,8
258,J. De Guzmán,Centrocampista,8
259,Lucas Torró,Centrocampista,8
260,M. Cavar,Centrocampista,8
261,M. Gačinović,Centrocampista,8
262,N. Stendera,Centrocampista,8
263,P. Finger,Centrocampista,8
264,R. Zalazar,Centrocampista,8
265,S. Cetin,Centrocampista,8
266,S. Ilsanker,Centrocampista,8
267,S. Rode,Centrocampista,8
268,André Silva,Delantero,8
269,Bas Dost,Delantero,8
270,G. Paciência,Delantero,8
271,D. Smarsch,Portero,9
272,L. Klatte,Portero,9
273,Rune Jarstein,Portero,9
274,T. Kraft,Portero,9
275,D. Boyata,Defensa,9
276,Florian Baak,Defensa,9
277,J. Torunarigha,Defensa,9
278,Karim Rekik,Defensa,9
279,L. Klünter,Defensa,9
280,Luca Netz,Defensa,9
281,M. Mittelstädt,Defensa,9
282,M. Plattenhardt,Defensa,9
283,Marius Wolf,Defensa,9
284,Márton Dárdai,Defensa,9
285,N. Stark,Defensa,9
286,Omar Rekik,Defensa,9
287,Peter Pekarik,Defensa,9
288,Arne Maier,Centrocampista,9
289,J. Albrecht,Centrocampista,9
290,L. Samardžić,Centrocampista,9
291,Marko Grujić,Centrocampista,9
292,P. Skjelbred,Centrocampista,9
293,S. Ascacíbar,Centrocampista,9
294,V. Darida,Centrocampista,9
295,A. Esswein,Delantero,9
296,D. Lukebakio,Delantero,9
297,J. Dilrosun,Delantero,9
298,J. Ngankam,Delantero,9
299,K. Piątek,Delantero,9
300,M. Kiprit,Delantero,9
301,M. Leckie,Delantero,9
302,Matheus Cunha,Delantero,9
303,P. Dardai,Delantero,9
304,P. Köpke,Delantero,9
305,S. Kalou,Delantero,9
306,V. Ibišević,Delantero,9
307,J. Busk,Portero,10
308,Moritz Nicolas,Portero,10
309,R. Gikiewicz,Portero,10
310,C. Lenz,Defensa,10
311,C. Trimmel,Defensa,10
