id_equipo,temporada,liga,nombre
0,2020,bundesliga,Bayern-Munchen
1,2020,bundesliga,Borussia-Dortmund
2,2020,bundesliga,Rb-Leipzig
3,2020,bundesliga,Borussia-Monchengla
4,2020,bundesliga,Bayer-Leverkusen
5,2020,bundesliga,Tsg-1899-Hoffenheim
6,2020,bundesliga,Wolfsburg
7,2020,bundesliga,Sc-Freiburg
8,2020,bundesliga,Eintracht-Frankfurt
9,2020,bundesliga,Hertha-Bsc
10,2020,bundesliga,1-Fc-Union-Berlin
11,2020,bundesliga,Schalke-04
12,2020,bundesliga,Mainz-Amat
13,2020,bundesliga,1-Fc-Koln
14,2020,bundesliga,Fc-Augsburg
15,2020,bundesliga,Werder-Bremen
16,2020,bundesliga,Fortuna-Dusseldorf
17,2020,bundesliga,Paderborn
