Club,Valor_mercado_total_millones
FC Barcelona,930.28
Real Madrid CF,913.75
Atlético de Madrid,720.15
Valencia CF,427.80
Real Sociedad,347.55
Sevilla FC,294.75
Real Betis Balompié,244.35
Athletic Club,211.75
Villarreal CF,208.68
Getafe CF,175.45
RC Celta de Vigo,167.00
RCD Espanyol,156.05
CD Leganés,109.75
Deportivo Alavés,106.70
Levante UD,90.50
Real Valladolid CF,87.78
RCD Mallorca,64.68
CA Osasuna,62.78
Granada CF,56.58
SD Eibar,53.75
