Club,Valor_mercado_total_millones
Valencia CF,427.8
Real Sociedad,347.55
Sevilla FC,294.75
Real Betis Balompié,244.35
Athletic Club,211.75
Villarreal CF,208.68
Getafe CF,175.45
RC Celta de Vigo,167.0
RCD Espanyol,156.05
CD Leganés,109.75
Deportivo Alavés,106.7
Levante UD,90.5
Real Valladolid CF,87.78
RCD Mallorca,64.68
CA Osasuna,62.78
Granada CF,56.58
SD Eibar,53.75
