id_equipo,temporada,liga,nombre
0,2020,primera,Real-Madrid
1,2020,primera,Barcelona
2,2020,primera,Atletico-Madrid
3,2020,primera,Sevilla
4,2020,primera,Villarreal
5,2020,primera,Real-Sociedad
6,2020,primera,Granada
7,2020,primera,Getafe
8,2020,primera,Valencia-Cf
9,2020,primera,Osasuna
10,2020,primera,Athletic-Bilbao
11,2020,primera,Levante
12,2020,primera,Valladolid
13,2020,primera,Eibar
14,2020,primera,Betis
15,2020,primera,Alaves
16,2020,primera,Celta
17,2020,primera,Leganes
18,2020,primera,Mallorca
19,2020,primera,Espanyol
