id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
0,7,2,1,3,3,2,1,0,0,2,4,46,54,8,12
1,1,2,0,3,3,1,1,0,0,7,4,63,37,10,10
2,2,0,2,3,3,1,2,0,0,5,5,66,34,13,10
3,3,2,2,3,3,0,1,0,1,3,6,57,43,11,6
4,4,2,0,3,3,2,2,0,0,8,2,52,48,19,6
5,9,0,3,2,3,2,1,0,0,2,5,37,63,6,12
6,6,1,2,3,3,2,2,0,0,3,5,40,60,15,15
7,0,0,2,3,3,2,2,0,0,2,9,42,58,9,17
8,8,4,0,3,3,1,2,0,0,5,4,65,35,18,5
9,5,0,0,3,3,0,1,0,0,8,5,48,52,18,16
10,19,1,2,3,2,6,2,0,0,6,4,60,40,11,12
11,18,3,1,3,3,0,0,0,0,5,2,59,41,25,10
12,12,0,0,3,3,1,1,0,1,5,5,51,49,13,11
13,13,3,2,3,3,0,2,0,0,5,1,63,37,23,16
14,15,2,1,3,3,0,5,0,0,2,5,58,42,14,15
15,16,2,0,3,3,2,1,1,0,1,8,43,57,6,11
16,17,6,1,3,3,0,2,0,0,10,3,77,23,31,5
17,11,1,3,3,3,1,2,0,0,5,2,58,42,8,9
18,10,3,2,3,3,1,1,0,0,3,5,33,67,6,9
19,14,0,2,3,3,1,1,1,0,6,7,36,64,8,16
20,27,1,2,3,3,3,1,1,0,10,3,52,48,11,8
21,29,1,1,2,3,1,2,0,0,5,9,28,72,11,17
22,24,1,0,3,3,1,1,0,0,8,5,70,30,20,6
23,21,2,2,3,3,0,3,1,1,6,2,49,51,17,10
24,20,3,1,3,3,1,3,0,0,7,2,62,38,17,13
25,23,0,0,3,3,0,1,1,0,7,7,58,42,5,14
26,22,4,2,3,3,2,1,0,0,6,4,65,35,23,12
27,26,1,2,3,3,3,1,0,0,3,5,17,83,5,16
28,28,2,1,2,2,4,2,0,0,6,2,44,56,12,8
29,25,0,3,3,3,2,3,0,0,5,2,57,43,23,9
30,39,0,1,3,3,2,1,0,0,4,4,47,53,13,15
31,37,2,1,3,3,0,0,0,0,4,0,78,22,24,3
32,36,1,2,3,3,3,2,0,0,4,4,51,49,12,10
33,35,1,1,3,3,3,3,0,0,4,3,58,42,11,9
34,33,2,0,3,3,2,2,0,0,7,6,72,28,24,8
35,30,2,2,3,3,3,3,0,0,7,1,41,59,15,10
36,34,0,2,3,3,1,1,0,0,7,4,50,50,20,19
37,32,2,3,2,3,3,4,0,0,3,9,27,73,14,15
38,31,0,2,3,3,2,3,0,1,2,5,46,54,9,21
39,38,2,1,3,3,2,1,0,0,1,7,34,66,7,10
40,45,1,2,3,3,0,0,0,0,10,4,36,64,4,12
41,48,1,2,3,3,2,3,0,1,6,8,42,58,13,10
42,44,3,0,3,2,0,0,0,0,10,4,65,35,28,9
43,47,1,2,3,3,0,0,0,0,5,4,60,40,11,17
44,41,4,1,3,3,0,0,0,0,5,4,77,23,17,6
45,43,0,1,3,1,1,2,0,0,5,3,59,41,15,7
46,40,4,2,3,3,3,4,0,1,4,6,47,53,10,14
47,42,1,3,3,3,2,5,0,0,4,2,55,45,16,9
48,49,1,0,3,3,2,4,0,0,8,2,59,41,30,7
49,46,2,2,3,2,2,3,0,0,1,4,51,49,14,12
50,58,1,1,3,3,1,1,0,0,5,4,63,37,15,8
51,57,3,0,3,3,0,2,0,0,5,3,59,41,10,6
52,56,3,1,3,2,2,1,0,0,2,1,63,37,14,7
53,55,1,1,3,3,2,1,0,0,8,8,61,39,15,11
54,53,0,5,3,3,1,1,0,0,1,9,19,81,2,20
55,52,4,0,2,3,2,0,0,0,3,8,38,62,12,18
56,51,1,2,3,2,2,1,0,0,5,7,28,72,8,16
57,54,0,0,2,3,1,1,0,0,9,4,62,38,16,6
58,50,2,0,3,2,2,1,0,0,5,9,62,38,9,9
59,59,0,0,3,3,2,1,0,0,1,8,28,72,6,17
60,66,2,0,3,3,0,3,0,0,10,3,80,20,28,4
61,68,3,1,3,3,0,1,0,0,4,9,48,52,8,9
