Club,Valor_mercado_total_millones
Manchester United,797.6
Arsenal FC,659.05
Everton FC,529.1
Leicester City,434.1
West Ham United,359.0
AFC Bournemouth,310.0
Southampton FC,305.4
Wolverhampton Wanderers,302.9
Crystal Palace,289.0
Fulham FC,254.25
Newcastle United,244.65
Watford FC,239.1
Burnley FC,197.25
Brighton & Hove Albion,194.35
Huddersfield Town,137.45
