epocas,batch,optimizador,callbacks,red,accuracy
50,16,SGD,0,0,0.42592594027519226
50,16,SGD,0,1,0.4333333373069763
50,16,SGD,0,2,0.41111111640930176
50,16,SGD,0,3,0.3888888955116272
50,16,SGD,0,4,0.38148146867752075
50,16,SGD,0,5,0.4185185134410858
50,16,SGD,0,6,0.37037035822868347
50,16,SGD,1,0,0.4037036895751953
50,16,SGD,1,1,0.43703705072402954
50,16,SGD,1,2,0.3777777850627899
50,16,SGD,1,3,0.42222222685813904
50,16,SGD,1,4,0.35185185074806213
50,16,SGD,1,5,0.3888888955116272
50,16,SGD,1,6,0.46296295523643494
50,16,adam,0,0,0.34074074029922485
50,16,adam,0,1,0.34074074029922485
50,16,adam,0,2,0.41111111640930176
50,16,adam,0,3,0.3481481373310089
50,16,adam,0,4,0.3629629611968994
50,16,adam,0,5,0.37037035822868347
50,16,adam,0,6,0.36666667461395264
50,16,adam,1,0,0.4037036895751953
50,16,adam,1,1,0.45185184478759766
50,16,adam,1,2,0.4555555582046509
50,16,adam,1,3,0.39629629254341125
50,16,adam,1,4,0.4481481611728668
50,16,adam,1,5,0.46296295523643494
50,16,adam,1,6,0.3296296298503876
50,48,SGD,0,0,0.36666667461395264
50,48,SGD,0,1,0.37037035822868347
50,48,SGD,0,2,0.41111111640930176
50,48,SGD,0,3,0.36666667461395264
50,48,SGD,0,4,0.4185185134410858
50,48,SGD,0,5,0.4185185134410858
50,48,SGD,0,6,0.3888888955116272
50,48,SGD,1,0,0.3592592477798462
50,48,SGD,1,1,0.43703705072402954
50,48,SGD,1,2,0.36666667461395264
50,48,SGD,1,3,0.4185185134410858
50,48,SGD,1,4,0.3592592477798462
50,48,SGD,1,5,0.41111111640930176
50,48,SGD,1,6,0.4444444477558136
50,48,adam,0,0,0.3481481373310089
50,48,adam,0,1,0.3481481373310089
50,48,adam,0,2,0.3777777850627899
50,48,adam,0,3,0.3888888955116272
50,48,adam,0,4,0.3592592477798462
50,48,adam,0,5,0.38148146867752075
50,48,adam,0,6,0.3592592477798462
50,48,adam,1,0,0.45185184478759766
50,48,adam,1,1,0.46666666865348816
50,48,adam,1,2,0.4000000059604645
50,48,adam,1,3,0.3740740716457367
50,48,adam,1,4,0.39259257912635803
50,48,adam,1,5,0.43703705072402954
50,48,adam,1,6,0.4037036895751953
80,16,SGD,0,0,0.41111111640930176
80,16,SGD,0,1,0.3888888955116272
80,16,SGD,0,2,0.385185182094574
80,16,SGD,0,3,0.3777777850627899
80,16,SGD,0,4,0.4000000059604645
80,16,SGD,0,5,0.3333333432674408
80,16,SGD,0,6,0.4333333373069763
80,16,SGD,1,0,0.4185185134410858
80,16,SGD,1,1,0.4481481611728668
80,16,SGD,1,2,0.39259257912635803
80,16,SGD,1,3,0.3740740716457367
80,16,SGD,1,4,0.3592592477798462
80,16,SGD,1,5,0.4407407343387604
80,16,SGD,1,6,0.3592592477798462
80,16,adam,0,0,0.34074074029922485
80,16,adam,0,1,0.39629629254341125
80,16,adam,0,2,0.39259257912635803
80,16,adam,0,3,0.34074074029922485
80,16,adam,0,4,0.3629629611968994
80,16,adam,0,5,0.3777777850627899
80,16,adam,0,6,0.3629629611968994
80,16,adam,1,0,0.4444444477558136
80,16,adam,1,1,0.46296295523643494
80,16,adam,1,2,0.4444444477558136
80,16,adam,1,3,0.4296296238899231
80,16,adam,1,4,0.3740740716457367
80,16,adam,1,5,0.46666666865348816
80,16,adam,1,6,0.3740740716457367
80,48,SGD,0,0,0.38148146867752075
80,48,SGD,0,1,0.39259257912635803
80,48,SGD,0,2,0.38148146867752075
80,48,SGD,0,3,0.3740740716457367
80,48,SGD,0,4,0.4000000059604645
80,48,SGD,0,5,0.37037035822868347
80,48,SGD,0,6,0.3740740716457367
80,48,SGD,1,0,0.3185185194015503
80,48,SGD,1,1,0.3629629611968994
80,48,SGD,1,2,0.45185184478759766
80,48,SGD,1,3,0.45185184478759766
80,48,SGD,1,4,0.42222222685813904
80,48,SGD,1,5,0.31111112236976624
80,48,SGD,1,6,0.4037036895751953
80,48,adam,0,0,0.385185182094574
80,48,adam,0,1,0.3629629611968994
80,48,adam,0,2,0.3444444537162781
80,48,adam,0,3,0.3592592477798462
80,48,adam,0,4,0.36666667461395264
80,48,adam,0,5,0.385185182094574
80,48,adam,0,6,0.4037036895751953
80,48,adam,1,0,0.42592594027519226
80,48,adam,1,1,0.4333333373069763
80,48,adam,1,2,0.41111111640930176
80,48,adam,1,3,0.37037035822868347
80,48,adam,1,4,0.4037036895751953
80,48,adam,1,5,0.46666666865348816
80,48,adam,1,6,0.4481481611728668
