epocas,batch,optimizador,callbacks,red,mae
50,48,adam,0,1,0.8897415399551392
50,48,adam,0,2,0.7762264609336853
50,48,adam,0,3,0.7964367866516113
50,48,adam,0,4,0.8899477124214172
50,48,adam,0,5,1.0545616149902344
50,48,adam,0,6,0.9399749636650085
50,48,adam,1,0,0.7011147141456604
50,48,adam,1,1,0.7052764892578125
50,48,adam,1,2,0.7261950373649597
50,48,adam,1,3,0.7559627294540405
50,48,adam,1,4,0.6923043727874756
50,48,adam,1,5,0.7044806480407715
50,48,adam,1,6,0.6889352202415466
80,16,SGD,0,0,0.8130630254745483
80,16,SGD,0,1,0.8497974276542664
80,16,SGD,0,2,0.8364166617393494
80,16,SGD,0,3,0.9037635326385498
80,16,SGD,0,4,0.8056252598762512
80,16,SGD,0,5,1.4074440002441406
80,16,SGD,0,6,0.9404767155647278
80,16,SGD,1,0,0.7256892919540405
80,16,SGD,1,1,0.7031542062759399
80,16,SGD,1,2,0.7074528932571411
80,16,SGD,1,3,0.7169584035873413
80,16,SGD,1,4,0.7055441737174988
80,16,SGD,1,5,0.7310440540313721
80,16,SGD,1,6,0.7148253321647644
80,16,adam,0,0,0.8486663699150085
80,16,adam,0,1,0.9677543044090271
80,16,adam,0,2,0.9680492281913757
80,16,adam,0,3,0.9879720211029053
80,16,adam,0,4,0.9522836208343506
80,16,adam,0,5,1.0582596063613892
80,16,adam,0,6,0.9089335203170776
80,16,adam,1,0,0.7261353731155396
80,16,adam,1,1,0.7066986560821533
80,16,adam,1,2,0.7127767205238342
80,16,adam,1,3,0.7201148271560669
80,16,adam,1,4,0.7609836459159851
80,16,adam,1,5,0.7245462536811829
80,16,adam,1,6,0.7593680620193481
80,48,SGD,0,0,0.8853341341018677
80,48,SGD,0,1,0.8219428062438965
80,48,SGD,0,2,0.8335742354393005
80,48,SGD,0,3,0.8155006766319275
80,48,SGD,0,4,0.827319324016571
80,48,SGD,0,5,0.7496726512908936
80,48,SGD,0,6,0.9033178091049194
80,48,SGD,1,0,0.7475681304931641
80,48,SGD,1,1,0.7150129675865173
80,48,SGD,1,2,0.7147959470748901
80,48,SGD,1,3,0.7342690825462341
80,48,SGD,1,4,0.7197062969207764
80,48,SGD,1,5,0.7151281833648682
80,48,SGD,1,6,0.760991632938385
80,48,adam,0,0,0.7858558297157288
80,48,adam,0,1,0.9146138429641724
80,48,adam,0,2,0.9134917855262756
80,48,adam,0,3,0.8998923301696777
80,48,adam,0,4,0.9171014428138733
80,48,adam,0,5,0.9919136762619019
80,48,adam,0,6,0.8959784507751465
80,48,adam,1,0,0.7270028591156006
80,48,adam,1,1,0.7280856370925903
80,48,adam,1,2,0.6982326507568359
80,48,adam,1,3,0.6973952054977417
80,48,adam,1,4,0.699694037437439
80,48,adam,1,5,0.7113369107246399
80,48,adam,1,6,0.8001372814178467
