epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,1.0186383724212646
50,16,SGD,0,1,1.0317144393920898
50,16,SGD,0,2,0.9505705833435059
50,16,SGD,0,3,1.0986354351043701
50,16,SGD,0,4,1.0432544946670532
50,16,SGD,0,5,1.0788724422454834
50,16,SGD,0,6,1.0397167205810547
50,16,SGD,1,0,0.9559163451194763
50,16,SGD,1,1,0.9680875539779663
50,16,SGD,1,2,0.9576513171195984
50,16,SGD,1,3,0.9762738347053528
50,16,SGD,1,4,0.9665802121162415
50,16,SGD,1,5,0.9622846841812134
50,16,SGD,1,6,1.0051084756851196
50,16,adam,0,0,1.0468990802764893
50,16,adam,0,1,1.0764309167861938
50,16,adam,0,2,1.0501800775527954
50,16,adam,0,3,1.2024422883987427
50,16,adam,0,4,1.085992455482483
50,16,adam,0,5,1.0986040830612183
50,16,adam,0,6,1.0876555442810059
50,16,adam,1,0,0.9703877568244934
50,16,adam,1,1,0.9612293243408203
50,16,adam,1,2,0.9470091462135315
50,16,adam,1,3,0.9928275942802429
50,16,adam,1,4,0.9731156826019287
50,16,adam,1,5,0.956044614315033
50,16,adam,1,6,0.9803166389465332
50,48,SGD,0,0,0.9662560224533081
50,48,SGD,0,1,0.98160320520401
50,48,SGD,0,2,0.9989091753959656
50,48,SGD,0,3,1.076331615447998
50,48,SGD,0,4,1.00758695602417
50,48,SGD,0,5,0.9701135754585266
50,48,SGD,0,6,1.0538170337677002
50,48,SGD,1,0,0.9633616209030151
50,48,SGD,1,1,0.9600756764411926
50,48,SGD,1,2,0.9634288549423218
50,48,SGD,1,3,0.9689457416534424
50,48,SGD,1,4,0.9620072245597839
50,48,SGD,1,5,0.965754508972168
50,48,SGD,1,6,0.9935624003410339
50,48,adam,0,0,1.0026357173919678
50,48,adam,0,1,1.1437479257583618
50,48,adam,0,2,1.1196998357772827
50,48,adam,0,3,1.0939098596572876
50,48,adam,0,4,1.0134762525558472
50,48,adam,0,5,1.1321015357971191
50,48,adam,0,6,1.0717196464538574
50,48,adam,1,0,0.9649200439453125
50,48,adam,1,1,0.953282356262207
50,48,adam,1,2,0.9661549925804138
50,48,adam,1,3,0.9932513236999512
50,48,adam,1,4,0.9888076186180115
50,48,adam,1,5,0.9549393057823181
50,48,adam,1,6,0.9738794565200806
80,16,SGD,0,0,1.0459846258163452
80,16,SGD,0,1,1.086099624633789
80,16,SGD,0,2,0.9947873950004578
80,16,SGD,0,3,1.1924169063568115
80,16,SGD,0,4,1.0030841827392578
80,16,SGD,0,5,1.1306294202804565
80,16,SGD,0,6,1.1333650350570679
80,16,SGD,1,0,0.9604034423828125
80,16,SGD,1,1,0.9638307690620422
80,16,SGD,1,2,0.9553454518318176
80,16,SGD,1,3,0.9752277731895447
80,16,SGD,1,4,0.9665685296058655
80,16,SGD,1,5,0.9541285634040833
80,16,SGD,1,6,0.9714555740356445
80,16,adam,0,0,1.0393009185791016
80,16,adam,0,1,1.2231558561325073
80,16,adam,0,2,1.1317745447158813
80,16,adam,0,3,1.1595348119735718
80,16,adam,0,4,1.05692720413208
80,16,adam,0,5,1.1976827383041382
80,16,adam,0,6,1.0534107685089111
80,16,adam,1,0,0.9626826643943787
80,16,adam,1,1,0.9711548686027527
80,16,adam,1,2,0.9568303823471069
80,16,adam,1,3,0.9461304545402527
80,16,adam,1,4,1.0232903957366943
80,16,adam,1,5,0.9527053236961365
80,16,adam,1,6,0.9771668314933777
80,48,SGD,0,0,0.9835795164108276
80,48,SGD,0,1,1.083375096321106
80,48,SGD,0,2,0.9799639582633972
80,48,SGD,0,3,1.0606986284255981
80,48,SGD,0,4,1.0509568452835083
80,48,SGD,0,5,0.9715542197227478
80,48,SGD,0,6,1.101731777191162
80,48,SGD,1,0,0.9641486406326294
80,48,SGD,1,1,0.9536536335945129
80,48,SGD,1,2,0.95298832654953
80,48,SGD,1,3,0.9782121181488037
80,48,SGD,1,4,0.9733522534370422
80,48,SGD,1,5,0.9572362899780273
80,48,SGD,1,6,0.9761494994163513
80,48,adam,0,0,1.0404796600341797
80,48,adam,0,1,1.1603416204452515
80,48,adam,0,2,1.1430095434188843
80,48,adam,0,3,1.1493929624557495
80,48,adam,0,4,1.0484189987182617
80,48,adam,0,5,1.081770896911621
80,48,adam,0,6,1.0924992561340332
80,48,adam,1,0,0.9649335145950317
80,48,adam,1,1,0.95579993724823
80,48,adam,1,2,0.9478623270988464
80,48,adam,1,3,0.9564878344535828
80,48,adam,1,4,1.0045806169509888
80,48,adam,1,5,0.9519040584564209
80,48,adam,1,6,1.0112310647964478
50,16,SGD,0,0,0.7642865777015686
50,16,SGD,0,1,0.7984029054641724
50,16,SGD,0,2,0.7916926145553589
50,16,SGD,0,3,0.9569452404975891
50,16,SGD,0,4,0.8166388869285583
50,16,SGD,0,5,0.8001099824905396
50,16,SGD,0,6,0.9065491557121277
50,16,SGD,1,0,0.7491744160652161
50,16,SGD,1,1,0.7461646795272827
50,16,SGD,1,2,0.7444948554039001
50,16,SGD,1,3,0.7691723704338074
50,16,SGD,1,4,0.7705494165420532
50,16,SGD,1,5,0.7353742718696594
50,16,SGD,1,6,0.7468904852867126
50,16,adam,0,0,0.8517494201660156
50,16,adam,0,1,0.9199357628822327
50,16,adam,0,2,0.83130943775177
50,16,adam,0,3,0.9541806578636169
50,16,adam,0,4,0.8429046869277954
50,16,adam,0,5,0.908952534198761
50,16,adam,0,6,0.9208191633224487
50,16,adam,1,0,0.7505736351013184
50,16,adam,1,1,0.7397152781486511
50,16,adam,1,2,0.7210075259208679
50,16,adam,1,3,0.7820922136306763
50,16,adam,1,4,0.7682377099990845
50,16,adam,1,5,0.7291362285614014
50,16,adam,1,6,0.7571865916252136
50,48,SGD,0,0,0.7585982084274292
50,48,SGD,0,1,0.7965502142906189
50,48,SGD,0,2,0.756322979927063
50,48,SGD,0,3,0.8562402725219727
50,48,SGD,0,4,0.7917720079421997
50,48,SGD,0,5,0.7798848152160645
50,48,SGD,0,6,0.8299298882484436
50,48,SGD,1,0,0.7692093253135681
50,48,SGD,1,1,0.7402368187904358
50,48,SGD,1,2,0.7287536263465881
50,48,SGD,1,3,0.7497575283050537
50,48,SGD,1,4,0.7605140805244446
50,48,SGD,1,5,0.7373670935630798
50,48,SGD,1,6,0.7297959923744202
50,48,adam,0,0,0.8197563290596008
50,48,adam,0,1,0.8637615442276001
50,48,adam,0,2,0.8349589109420776
50,48,adam,0,3,0.9053639769554138
50,48,adam,0,4,0.8332747220993042
50,48,adam,0,5,0.8698925971984863
50,48,adam,0,6,0.8536338210105896
50,48,adam,1,0,0.7688505053520203
50,48,adam,1,1,0.7471765279769897
50,48,adam,1,2,0.7554722428321838
50,48,adam,1,3,0.7807846665382385
50,48,adam,1,4,0.7687503099441528
50,48,adam,1,5,0.7517108917236328
50,48,adam,1,6,0.7822859883308411
80,16,SGD,0,0,0.8140009045600891
80,16,SGD,0,1,0.8594302535057068
80,16,SGD,0,2,0.8992480039596558
80,16,SGD,0,3,0.9300552606582642
80,16,SGD,0,4,0.849455714225769
80,16,SGD,0,5,0.923970639705658
80,16,SGD,0,6,0.8747780323028564
80,16,SGD,1,0,0.7719666957855225
80,16,SGD,1,1,0.7655579447746277
80,16,SGD,1,2,0.7396352887153625
80,16,SGD,1,3,0.7671787738800049
80,16,SGD,1,4,0.7421974539756775
80,16,SGD,1,5,0.7402455806732178
80,16,SGD,1,6,0.7589864730834961
80,16,adam,0,0,0.9136088490486145
80,16,adam,0,1,0.9615101218223572
80,16,adam,0,2,0.9439598321914673
80,16,adam,0,3,0.9735444188117981
80,16,adam,0,4,0.9073017835617065
80,16,adam,0,5,0.9832976460456848
80,16,adam,0,6,0.8862910270690918
80,16,adam,1,0,0.7644231915473938
80,16,adam,1,1,0.7327788472175598
80,16,adam,1,2,0.7465913891792297
80,16,adam,1,3,0.8163253664970398
80,16,adam,1,4,0.7761761546134949
80,16,adam,1,5,0.751205563545227
80,16,adam,1,6,0.7972350716590881
80,48,SGD,0,0,0.7753527760505676
80,48,SGD,0,1,0.8035978674888611
80,48,SGD,0,2,0.7678379416465759
80,48,SGD,0,3,0.8612527847290039
80,48,SGD,0,4,0.8444800972938538
80,48,SGD,0,5,0.8215582966804504
80,48,SGD,0,6,0.8466480374336243
80,48,SGD,1,0,0.766478955745697
80,48,SGD,1,1,0.751744270324707
80,48,SGD,1,2,0.7316463589668274
80,48,SGD,1,3,0.7439687848091125
80,48,SGD,1,4,0.7685766220092773
80,48,SGD,1,5,0.7402176260948181
80,48,SGD,1,6,0.7945113778114319
80,48,adam,0,0,0.8347348570823669
80,48,adam,0,1,0.973868727684021
80,48,adam,0,2,0.9645562171936035
80,48,adam,0,3,0.9473469853401184
80,48,adam,0,4,0.8555797338485718
80,48,adam,0,5,1.0338703393936157
80,48,adam,0,6,0.9173741936683655
80,48,adam,1,0,0.7459204792976379
80,48,adam,1,1,0.7599638104438782
80,48,adam,1,2,0.7589027881622314
80,48,adam,1,3,0.7749640345573425
80,48,adam,1,4,0.7593037486076355
80,48,adam,1,5,0.7533273100852966
80,48,adam,1,6,0.7650750279426575
