epocas,batch,optimizador,callbacks,red,mae
50,48,adam,0,1,1.0918484926223755
50,48,adam,0,2,0.9331900477409363
50,48,adam,0,3,0.9593580365180969
50,48,adam,0,4,0.9002755284309387
50,48,adam,0,5,1.056810975074768
50,48,adam,0,6,0.9951289296150208
50,48,adam,1,0,0.8847609162330627
50,48,adam,1,1,0.9094918370246887
50,48,adam,1,2,0.8874186277389526
50,48,adam,1,3,0.856600821018219
50,48,adam,1,4,0.8687934875488281
50,48,adam,1,5,0.8942572474479675
50,48,adam,1,6,0.87480229139328
80,16,SGD,0,0,0.9804373979568481
80,16,SGD,0,1,0.985382616519928
80,16,SGD,0,2,0.9329022169113159
80,16,SGD,0,3,1.0069544315338135
80,16,SGD,0,4,0.9778937101364136
80,16,SGD,0,5,1.0419178009033203
80,16,SGD,0,6,1.0112098455429077
80,16,SGD,1,0,0.8982247114181519
80,16,SGD,1,1,0.871862530708313
80,16,SGD,1,2,0.9216302037239075
80,16,SGD,1,3,0.870154082775116
80,16,SGD,1,4,0.8408080339431763
80,16,SGD,1,5,0.8862074017524719
80,16,SGD,1,6,0.8323956727981567
80,16,adam,0,0,1.046359658241272
80,16,adam,0,1,1.1289974451065063
80,16,adam,0,2,1.0752276182174683
80,16,adam,0,3,1.0633612871170044
80,16,adam,0,4,1.0686781406402588
80,16,adam,0,5,1.1649935245513916
80,16,adam,0,6,1.130449891090393
80,16,adam,1,0,0.8820427656173706
80,16,adam,1,1,0.875024676322937
80,16,adam,1,2,0.8456262946128845
80,16,adam,1,3,0.9829950928688049
80,16,adam,1,4,0.8971084356307983
80,16,adam,1,5,0.8562816381454468
80,16,adam,1,6,0.9414578676223755
80,48,SGD,0,0,1.0718457698822021
80,48,SGD,0,1,0.9672616124153137
80,48,SGD,0,2,0.8547857403755188
80,48,SGD,0,3,0.9228834509849548
80,48,SGD,0,4,0.946167528629303
80,48,SGD,0,5,0.988709032535553
80,48,SGD,0,6,0.9855673909187317
80,48,SGD,1,0,0.8828065991401672
80,48,SGD,1,1,0.8766425848007202
80,48,SGD,1,2,0.9101535081863403
80,48,SGD,1,3,0.8639881610870361
80,48,SGD,1,4,0.8801462054252625
80,48,SGD,1,5,0.8935683369636536
80,48,SGD,1,6,0.8703465461730957
80,48,adam,0,0,0.9167516827583313
80,48,adam,0,1,1.1292108297348022
80,48,adam,0,2,1.0736567974090576
80,48,adam,0,3,1.0355720520019531
80,48,adam,0,4,1.0599676370620728
80,48,adam,0,5,1.1743252277374268
80,48,adam,0,6,1.0238325595855713
80,48,adam,1,0,0.901520848274231
80,48,adam,1,1,0.8683388829231262
80,48,adam,1,2,0.8275949358940125
80,48,adam,1,3,0.8822548389434814
80,48,adam,1,4,0.8676701784133911
80,48,adam,1,5,0.8660975694656372
80,48,adam,1,6,0.8823639154434204
