Club,Valor_mercado_total_millones
Bayern München,790.33
Borussia Dortmund,558.98
RB Leipzig,498.95
Bayer 04 Leverkusen,455.05
VfL Wolfsburgo,269.30
Borussia Mönchengladbach,236.80
Eintracht Fráncfort,228.75
TSG 1899 Hoffenheim,211.43
SC Friburgo,176.35
VfB Stuttgart,174.23
Hertha Berlín,155.78
1.FSV Mainz 05,131.03
1.FC Unión Berlín,115.90
FC Colonia,99.28
FC Augsburgo,95.30
Arminia Bielefeld,65.85
VfL Bochum,52.45
SpVgg Greuther Fürth,36.95
