id_equipo,temporada,liga,nombre
0,2022,bundesliga,Bayern-Munchen
1,2022,bundesliga,Borussia-Dortmund
2,2022,bundesliga,Bayer-Leverkusen
3,2022,bundesliga,Rb-Leipzig
4,2022,bundesliga,1-Fc-Union-Berlin
5,2022,bundesliga,Sc-Freiburg
6,2022,bundesliga,1-Fc-Koln
7,2022,bundesliga,Mainz-Amat
8,2022,bundesliga,Tsg-1899-Hoffenheim
9,2022,bundesliga,Borussia-Monchengla
10,2022,bundesliga,Eintracht-Frankfurt
11,2022,bundesliga,Wolfsburg
12,2022,bundesliga,Bochum
13,2022,bundesliga,Fc-Augsburg
14,2022,bundesliga,Stuttgart
15,2022,bundesliga,Hertha-Bsc
16,2022,bundesliga,Arminia-Bielefeld
17,2022,bundesliga,Greuther-Furth
