Club,Valor_mercado_total_millones
VfL Wolfsburgo,269.3
Borussia Mönchengladbach,236.8
Eintracht Fráncfort,228.75
TSG 1899 Hoffenheim,211.43
SC Friburgo,176.35
VfB Stuttgart,174.23
Hertha Berlín,155.78
1.FSV Mainz 05,131.03
1.FC Unión Berlín,115.9
FC Colonia,99.28
FC Augsburgo,95.3
Arminia Bielefeld,65.85
VfL Bochum,52.45
