Club,Valor_mercado_total_millones
Manchester City,1000.00
Liverpool FC,918.90
Chelsea FC,914.50
Manchester United,769.15
Tottenham Hotspur,689.35
Arsenal FC,613.05
Leicester City,526.55
Aston Villa,487.75
Everton FC,479.05
Wolverhampton Wanderers,376.95
West Ham United,354.90
Brighton & Hove Albion,318.00
Newcastle United,313.90
Leeds United,299.45
Southampton FC,274.30
Brentford FC,273.30
Crystal Palace,271.05
Norwich City,163.20
Watford FC,156.20
Burnley FC,137.85
