Club,Valor_mercado_total_millones
Tottenham Hotspur,689.35
Arsenal FC,613.05
Leicester City,526.55
Aston Villa,487.75
Everton FC,479.05
Wolverhampton Wanderers,376.95
West Ham United,354.9
Brighton & Hove Albion,318.0
Newcastle United,313.9
Leeds United,299.45
Southampton FC,274.3
Brentford FC,273.3
Crystal Palace,271.05
