Club,Valor_mercado_total_millones
Bayern München,784.88
Borussia Dortmund,643.25
RB Leipzig,479.00
Bayer 04 Leverkusen,429.40
TSG 1899 Hoffenheim,336.25
Eintracht Fráncfort,313.40
Borussia Mönchengladbach,264.30
VfL Wolfsburgo,229.25
FC Schalke 04,221.30
Hertha Berlín,207.63
SV Werder Bremen,168.05
1.FSV Mainz 05,159.73
VfB Stuttgart,143.75
FC Augsburgo,139.25
SC Friburgo,122.10
Fortuna Düsseldorf,94.95
Hannover 96,91.43
1.FC Nürnberg,54.40
