id_equipo,temporada,liga,nombre
0,2019,bundesliga,Bayern-Munchen
1,2019,bundesliga,Borussia-Dortmund
2,2019,bundesliga,Rb-Leipzig
3,2019,bundesliga,Bayer-Leverkusen
4,2019,bundesliga,Borussia-Monchengla
5,2019,bundesliga,Wolfsburg
6,2019,bundesliga,Eintracht-Frankfurt
7,2019,bundesliga,Werder-Bremen
8,2019,bundesliga,Tsg-1899-Hoffenheim
9,2019,bundesliga,Fortuna-Dusseldorf
10,2019,bundesliga,Hertha-Bsc
11,2019,bundesliga,Mainz-Amat
12,2019,bundesliga,Sc-Freiburg
13,2019,bundesliga,Schalke-04
14,2019,bundesliga,Fc-Augsburg
15,2019,bundesliga,Stuttgart
16,2019,bundesliga,Hannover-96
17,2019,bundesliga,Fc-Nurnberg
