Club,Valor_mercado_total_millones
Bayer 04 Leverkusen,429.4
TSG 1899 Hoffenheim,336.25
Eintracht Fráncfort,313.4
Borussia Mönchengladbach,264.3
VfL Wolfsburgo,229.25
FC Schalke 04,221.3
Hertha Berlín,207.63
SV Werder Bremen,168.05
1.FSV Mainz 05,159.73
VfB Stuttgart,143.75
FC Augsburgo,139.25
SC Friburgo,122.1
Fortuna Düsseldorf,94.95
Hannover 96,91.43
