Club,Valor_mercado_total_millones
Bayer 04 Leverkusen,373.25
Borussia Mönchengladbach,300.75
Eintracht Fráncfort,269.15
VfL Wolfsburgo,256.83
Hertha Berlín,228.88
TSG 1899 Hoffenheim,228.15
VfB Stuttgart,189.25
1.FSV Mainz 05,163.3
SC Friburgo,139.1
FC Schalke 04,123.05
FC Colonia,118.2
SV Werder Bremen,111.98
FC Augsburgo,93.05
1.FC Unión Berlín,82.05
Arminia Bielefeld,56.73
