id_equipo,temporada,liga,nombre
0,2021,bundesliga,Bayern-Munchen
1,2021,bundesliga,Rb-Leipzig
2,2021,bundesliga,Borussia-Dortmund
3,2021,bundesliga,Wolfsburg
4,2021,bundesliga,Eintracht-Frankfurt
5,2021,bundesliga,Bayer-Leverkusen
6,2021,bundesliga,1-Fc-Union-Berlin
7,2021,bundesliga,Borussia-Monchengla
8,2021,bundesliga,Stuttgart
9,2021,bundesliga,Sc-Freiburg
10,2021,bundesliga,Tsg-1899-Hoffenheim
11,2021,bundesliga,Mainz-Amat
12,2021,bundesliga,Fc-Augsburg
13,2021,bundesliga,Hertha-Bsc
14,2021,bundesliga,Arminia-Bielefeld
15,2021,bundesliga,1-Fc-Koln
16,2021,bundesliga,Werder-Bremen
17,2021,bundesliga,Schalke-04
