id_equipo,temporada,liga,nombre
0,2021,premier,Manchester-City-Fc
1,2021,premier,Manchester-United-Fc
2,2021,premier,Liverpool
3,2021,premier,Chelsea-Fc
4,2021,premier,Leicester-City-Fc
5,2021,premier,West-Ham-United
6,2021,premier,Tottenham-Hotspur-Fc
7,2021,premier,Arsenal
8,2021,premier,Leeds-United-Afc
9,2021,premier,Everton-Fc
10,2021,premier,Aston-Villa-Fc
11,2021,premier,Newcastle-United-Fc
12,2021,premier,Wolverhampton
13,2021,premier,Crystal-Palace-Fc
14,2021,premier,Southampton-Fc
15,2021,premier,Brighton-Amp-Hov
16,2021,premier,Burnley-Fc
17,2021,premier,Fulham
18,2021,premier,West-Bromwich
19,2021,premier,Sheffield-United
