Club,Valor_mercado_total_millones
Tottenham Hotspur,703.5
Arsenal FC,619.25
Everton FC,511.2
Leicester City,510.6
Wolverhampton Wanderers,450.3
Aston Villa,430.7
West Ham United,334.9
Brighton & Hove Albion,290.0
Southampton FC,282.8
Newcastle United,255.35
Fulham FC,239.75
Leeds United,238.1
Crystal Palace,193.85
