Club,Valor_mercado_total_millones
Real Sociedad,498.5
Atlético de Madrid,458.45
Girona FC,297.9
Athletic Club,295.65
Villarreal CF,252.5
Valencia CF,244.73
Sevilla FC,228.75
Real Betis Balompié,224.88
RC Celta de Vigo,149.3
Granada CF,141.1
Getafe CF,133.7
Deportivo Alavés,123.7
UD Las Palmas,112.4
CA Osasuna,105.35
UD Almería,99.4
RCD Mallorca,87.7
Rayo Vallecano,63.95
Cádiz CF,60.7
