Club,Valor_mercado_total_millones
Real Madrid CF,1380.00
FC Barcelona,916.20
Real Sociedad,498.50
Atlético de Madrid,458.45
Girona FC,297.90
Athletic Club,295.65
Villarreal CF,252.50
Valencia CF,244.73
Sevilla FC,228.75
Real Betis Balompié,224.88
RC Celta de Vigo,149.30
Granada CF,141.10
Getafe CF,133.70
Deportivo Alavés,123.70
UD Las Palmas,112.40
CA Osasuna,105.35
UD Almería,99.40
RCD Mallorca,87.70
Rayo Vallecano,63.95
Cádiz CF,60.70
