Club,Valor_mercado_total_millones
Bayern München,948.95
Borussia Dortmund,567.55
RB Leipzig,486.40
Bayer 04 Leverkusen,452.50
Eintracht Fráncfort,324.55
Borussia Mönchengladbach,241.68
VfL Wolfsburgo,238.30
SC Friburgo,200.95
TSG 1899 Hoffenheim,178.80
1.FC Unión Berlín,157.95
VfB Stuttgart,151.05
1.FSV Mainz 05,135.80
FC Augsburgo,132.23
FC Colonia,115.65
Hertha Berlín,94.00
SV Werder Bremen,89.50
FC Schalke 04,87.78
VfL Bochum,53.70
