Club,Valor_mercado_total_millones
Bayer 04 Leverkusen,452.5
Eintracht Fráncfort,324.55
Borussia Mönchengladbach,241.68
VfL Wolfsburgo,238.3
SC Friburgo,200.95
TSG 1899 Hoffenheim,178.8
1.FC Unión Berlín,157.95
VfB Stuttgart,151.05
1.FSV Mainz 05,135.8
FC Augsburgo,132.23
FC Colonia,115.65
Hertha Berlín,94.0
SV Werder Bremen,89.5
FC Schalke 04,87.78
VfL Bochum,53.7
