id_equipo,temporada,liga,nombre
20,2023,premier,Manchester-City-Fc
21,2023,premier,Arsenal
22,2023,premier,Manchester-United-Fc
23,2023,premier,Newcastle-United-Fc
24,2023,premier,Liverpool
25,2023,premier,Brighton-Amp-Hov
26,2023,premier,Aston-Villa-Fc
27,2023,premier,Tottenham-Hotspur-Fc
28,2023,premier,Brentford
29,2023,premier,Fulham
30,2023,premier,Crystal-Palace-Fc
31,2023,premier,Chelsea-Fc
32,2023,premier,Wolverhampton
33,2023,premier,West-Ham-United
34,2023,premier,Afc-Bournemouth
35,2023,premier,Nottingham-Forest-Fc
36,2023,premier,Everton-Fc
37,2023,premier,Leicester-City-Fc
38,2023,premier,Leeds-United-Afc
39,2023,premier,Southampton-Fc
