Club,Valor_mercado_total_millones
Manchester City,1150.00
Arsenal FC,1000.00
Chelsea FC,994.95
Manchester United,847.75
Liverpool FC,811.85
Tottenham Hotspur,649.10
Newcastle United,541.60
Brighton & Hove Albion,529.80
Aston Villa,509.55
Wolverhampton Wanderers,497.65
Leicester City,490.70
West Ham United,465.00
Southampton FC,419.95
Everton FC,413.15
Nottingham Forest,376.25
Brentford FC,371.20
Leeds United,345.15
Crystal Palace,323.05
Fulham FC,295.10
AFC Bournemouth,287.20
