Club,Valor_mercado_total_millones
Liverpool FC,811.85
Tottenham Hotspur,649.1
Newcastle United,541.6
Brighton & Hove Albion,529.8
Aston Villa,509.55
Wolverhampton Wanderers,497.65
Leicester City,490.7
West Ham United,465.0
Southampton FC,419.95
Everton FC,413.15
Nottingham Forest,376.25
Brentford FC,371.2
Leeds United,345.15
Crystal Palace,323.05
