Club,Valor_mercado_total_millones
Sevilla FC,418.25
Real Sociedad,406.6
Villarreal CF,292.6
Valencia CF,278.85
Real Betis Balompié,207.7
Athletic Club,204.15
Getafe CF,170.1
RC Celta de Vigo,155.85
Granada CF,122.65
Levante UD,113.0
CA Osasuna,96.75
SD Eibar,83.4
Deportivo Alavés,79.8
SD Huesca,64.1
Real Valladolid CF,63.35
Cádiz CF,47.65
Elche CF,45.65
