id_partido,fecha,temporada,liga,jornada,id_equipo_local,id_equipo_visitante,finalizado
763,2020-09-12,2021,primera,1,59,47,1
764,2020-09-12,2021,primera,1,51,50,1
765,2020-09-12,2021,primera,1,48,49,1
760,2020-09-13,2021,primera,1,55,45,1
769,2020-09-13,2021,primera,1,46,57,1
767,2020-09-13,2021,primera,1,52,53,1
768,2020-09-13,2021,primera,1,58,44,1
779,2020-09-19,2021,primera,2,46,59,1
772,2020-09-19,2021,primera,2,47,52,1
773,2020-09-19,2021,primera,2,54,50,1
775,2020-09-20,2021,primera,2,57,51,1
771,2020-09-20,2021,primera,2,45,58,1
774,2020-09-20,2021,primera,2,48,55,1
777,2020-09-20,2021,primera,2,44,41,1
787,2020-09-26,2021,primera,3,52,57,1
789,2020-09-26,2021,primera,3,56,44,1
783,2020-09-26,2021,primera,3,45,41,1
780,2020-09-26,2021,primera,3,55,54,1
781,2020-09-27,2021,primera,3,40,48,1
782,2020-09-27,2021,primera,3,42,46,1
784,2020-09-27,2021,primera,3,59,49,1
785,2020-09-27,2021,primera,3,51,43,1
786,2020-09-27,2021,primera,3,50,53,1
788,2020-09-27,2021,primera,3,58,47,1
797,2020-09-29,2021,primera,4,44,52,1
793,2020-09-29,2021,primera,4,54,45,1
795,2020-09-30,2021,primera,4,57,40,1
799,2020-09-30,2021,primera,4,46,55,1
796,2020-09-30,2021,primera,4,41,58,1
792,2020-09-30,2021,primera,4,59,56,1
798,2020-10-01,2021,primera,4,43,53,1
790,2020-10-01,2021,primera,4,49,51,1
791,2020-10-01,2021,primera,4,47,42,1
801,2020-10-03,2021,primera,5,40,46,1
807,2020-10-03,2021,primera,5,58,59,1
806,2020-10-03,2021,primera,5,52,45,1
805,2020-10-03,2021,primera,5,44,54,1
808,2020-10-03,2021,primera,5,56,57,1
804,2020-10-04,2021,primera,5,50,47,1
802,2020-10-04,2021,primera,5,42,43,1
809,2020-10-04,2021,primera,5,53,41,1
803,2020-10-04,2021,primera,5,51,48,1
800,2020-10-04,2021,primera,5,55,49,1
818,2020-10-17,2021,primera,6,41,51,1
816,2020-10-17,2021,primera,6,48,43,1
815,2020-10-17,2021,primera,6,54,42,1
813,2020-10-17,2021,primera,6,47,40,1
819,2020-10-18,2021,primera,6,46,52,1
817,2020-10-18,2021,primera,6,57,58,1
814,2020-10-18,2021,primera,6,59,50,1
812,2020-10-18,2021,primera,6,45,44,1
811,2020-10-18,2021,primera,6,49,53,1
810,2020-10-18,2021,primera,6,55,56,1
829,2020-10-23,2021,primera,7,56,52,1
825,2020-10-24,2021,primera,7,50,49,1
827,2020-10-24,2021,primera,7,43,59,1
820,2020-10-24,2021,primera,7,42,41,1
821,2020-10-24,2021,primera,7,40,45,1
823,2020-10-25,2021,primera,7,51,46,1
826,2020-10-25,2021,primera,7,44,57,1
828,2020-10-25,2021,primera,7,58,55,1
822,2020-10-25,2021,primera,7,54,48,1
824,2020-10-26,2021,primera,7,53,47,1
834,2020-10-30,2021,primera,8,59,51,1
837,2020-10-31,2021,primera,8,41,57,1
830,2020-10-31,2021,primera,8,55,42,1
831,2020-10-31,2021,primera,8,49,43,1
836,2020-10-31,2021,primera,8,50,40,1
838,2020-11-01,2021,primera,8,52,54,1
832,2020-11-01,2021,primera,8,45,56,1
833,2020-11-01,2021,primera,8,47,44,1
835,2020-11-01,2021,primera,8,48,53,1
