Club,Valor_mercado_total_millones
FC Barcelona,813.50
Real Madrid CF,787.30
Atlético de Madrid,773.10
Sevilla FC,418.25
Real Sociedad,406.60
Villarreal CF,292.60
Valencia CF,278.85
Real Betis Balompié,207.70
Athletic Club,204.15
Getafe CF,170.10
RC Celta de Vigo,155.85
Granada CF,122.65
Levante UD,113.00
CA Osasuna,96.75
SD Eibar,83.40
Deportivo Alavés,79.80
SD Huesca,64.10
Real Valladolid CF,63.35
Cádiz CF,47.65
Elche CF,45.65
