Club,Valor_mercado_total_millones
Manchester City,1050.00
Liverpool FC,1000.00
Tottenham Hotspur,806.80
Chelsea FC,705.85
Manchester United,670.45
Arsenal FC,607.65
Everton FC,420.55
Leicester City,411.10
Wolverhampton Wanderers,320.33
West Ham United,303.60
AFC Bournemouth,272.18
Newcastle United,252.48
Aston Villa,231.70
Southampton FC,210.75
Brighton & Hove Albion,200.78
Watford FC,199.60
Crystal Palace,189.33
Burnley FC,163.88
Norwich City,145.33
Sheffield United,138.60
