Club,Valor_mercado_total_millones
Real Madrid CF,923.45
FC Barcelona,836.80
Atlético de Madrid,534.30
Real Sociedad,441.70
Villarreal CF,363.50
Valencia CF,249.78
Real Betis Balompié,246.40
Sevilla FC,232.58
Athletic Club,222.45
CA Osasuna,150.05
Girona FC,139.90
RC Celta de Vigo,138.80
Getafe CF,118.90
RCD Espanyol,116.50
UD Almería,114.20
RCD Mallorca,107.00
Rayo Vallecano,103.40
Real Valladolid CF,90.75
Elche CF,67.50
Cádiz CF,65.60
