id_equipo,temporada,liga,nombre
20,2023,primera,Barcelona
21,2023,primera,Real-Madrid
22,2023,primera,Atletico-Madrid
23,2023,primera,Real-Sociedad
24,2023,primera,Villarreal
25,2023,primera,Betis
26,2023,primera,Osasuna
27,2023,primera,Athletic-Bilbao
28,2023,primera,Mallorca
29,2023,primera,Girona-Fc
30,2023,primera,Rayo-Vallecano
31,2023,primera,Sevilla
32,2023,primera,Celta
33,2023,primera,Cadiz
34,2023,primera,Getafe
35,2023,primera,Valencia-Cf
36,2023,primera,Almeria
37,2023,primera,Valladolid
38,2023,primera,Espanyol
39,2023,primera,Elche
