Club,Valor_mercado_total_millones
Real Sociedad,441.7
Villarreal CF,363.5
Valencia CF,249.78
Real Betis Balompié,246.4
Sevilla FC,232.58
Athletic Club,222.45
CA Osasuna,150.05
Girona FC,139.9
RC Celta de Vigo,138.8
Getafe CF,118.9
RCD Espanyol,116.5
UD Almería,114.2
RCD Mallorca,107.0
Rayo Vallecano,103.4
Real Valladolid CF,90.75
Elche CF,67.5
Cádiz CF,65.6
