id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
658,658,3,3,5,4,3,5,0,0,1,2,62,37,10,14
659,650,0,0,3,5,0,2,0,0,12,2,59,40,18,5
660,667,2,1,4,4,2,3,0,0,2,3,45,54,12,8
661,664,1,2,4,5,1,6,0,0,8,5,70,29,22,14
662,663,0,2,5,3,1,0,0,0,2,9,30,69,12,35
663,661,3,1,4,5,2,2,0,0,4,13,52,47,15,13
664,660,2,0,5,5,5,2,0,0,5,2,51,49,13,13
665,665,0,0,5,4,2,1,0,0,1,5,33,66,5,15
666,666,2,0,5,5,3,3,0,1,3,4,48,51,14,13
667,668,0,2,5,5,1,4,1,0,6,2,59,40,13,6
668,669,2,1,3,5,3,3,0,0,9,2,64,35,19,3
669,662,0,1,5,2,2,1,1,0,7,5,73,26,12,8
670,677,0,0,4,4,4,2,0,0,6,4,56,43,14,11
671,679,1,0,5,5,1,1,0,0,5,7,38,61,15,12
672,678,2,1,5,5,1,2,0,0,3,3,60,39,7,7
673,672,1,2,5,5,2,3,0,0,3,4,52,47,12,14
674,674,3,2,5,5,2,0,0,0,5,13,38,61,10,21
675,675,2,0,3,5,1,2,0,0,8,3,65,34,17,12
676,673,1,0,4,4,4,8,0,0,3,3,62,37,13,13
677,671,2,1,5,5,1,2,0,0,5,3,38,61,17,17
678,670,0,2,5,5,3,1,0,0,11,6,65,34,7,5
679,676,3,1,5,4,2,3,0,0,2,2,48,51,8,3
680,682,0,0,2,5,1,3,0,0,2,4,58,42,10,10
681,686,4,2,5,4,1,2,0,0,3,8,28,71,13,18
682,684,0,1,5,4,0,1,0,1,11,2,55,44,20,6
683,687,2,1,5,5,1,4,0,0,3,9,39,60,9,10
684,689,1,2,5,5,2,2,1,0,4,6,45,54,21,23
685,681,3,1,4,4,0,0,0,0,5,8,68,31,24,6
686,683,1,0,5,3,0,0,0,0,10,6,49,50,15,12
687,685,2,1,5,5,0,4,0,0,6,2,48,51,19,9
688,680,0,1,4,5,3,3,0,0,8,2,54,45,6,4
689,688,4,2,3,4,2,4,0,1,9,2,64,35,31,14
690,694,0,2,5,5,3,1,0,0,4,2,50,49,13,12
691,690,4,0,5,5,0,2,0,1,10,0,67,32,15,4
692,691,4,0,5,5,1,2,0,1,3,8,50,49,18,14
693,698,4,2,3,5,2,2,0,0,7,0,68,31,15,9
694,692,2,1,5,5,6,2,0,0,5,6,39,60,8,16
695,693,1,0,4,5,4,5,0,0,6,3,57,42,17,7
696,696,2,5,4,4,2,1,0,0,9,1,57,42,19,9
697,697,3,1,5,5,1,4,0,0,4,9,51,48,9,14
698,699,0,2,4,5,1,1,0,0,6,1,63,36,23,9
699,695,1,1,5,5,4,2,1,0,5,7,29,70,9,16
700,709,2,0,5,3,1,5,0,1,2,6,53,46,9,10
701,702,1,0,5,5,0,0,0,1,11,0,76,23,21,7
702,705,2,1,5,5,2,2,0,0,7,13,46,53,10,14
703,701,5,1,4,4,3,2,0,0,5,2,61,38,18,2
704,703,1,1,5,3,4,2,0,0,6,6,32,67,8,11
705,707,1,0,5,4,7,5,0,1,1,5,34,65,14,7
706,708,3,2,5,4,1,2,0,0,9,0,63,36,18,7
707,700,0,1,5,4,1,3,1,0,13,2,62,37,21,12
708,704,2,1,5,5,0,0,0,0,3,4,51,48,16,7
709,706,2,1,5,4,4,0,0,0,9,5,62,37,17,8
710,716,1,0,3,5,5,4,0,0,3,7,43,56,8,14
711,718,3,1,5,5,0,0,0,0,4,1,56,43,18,8
712,719,2,2,3,5,6,3,0,1,7,4,50,49,18,13
713,712,5,1,5,5,4,3,0,0,7,5,56,43,17,11
714,715,1,0,5,5,1,4,0,0,1,3,77,23,16,9
715,717,0,3,5,5,2,1,0,0,8,3,54,45,28,17
716,711,1,2,4,5,3,5,0,1,5,4,63,36,10,12
717,713,1,0,5,4,2,0,0,0,3,5,49,50,15,13
718,714,2,4,5,5,1,3,0,0,4,3,29,70,15,15
719,710,3,1,5,5,3,2,0,1,6,5,48,51,11,16
720,723,2,0,5,5,4,4,0,1,4,3,46,53,11,6
721,727,1,1,5,5,4,1,0,0,5,6,38,61,9,13
722,724,3,0,5,5,1,2,0,0,4,6,54,46,12,7
723,725,1,2,4,5,2,1,0,0,3,1,45,54,9,10
724,720,2,1,5,5,4,1,0,0,8,5,48,51,10,8
725,722,1,2,5,5,4,4,0,0,8,2,67,32,13,13
726,721,3,0,5,5,0,2,0,0,8,10,53,46,15,12
727,726,0,0,5,5,2,2,0,1,4,3,53,46,10,5
728,728,1,2,5,4,2,2,0,0,4,4,64,35,15,10
729,729,1,0,5,5,5,2,0,1,2,9,26,73,11,13
730,736,3,1,5,5,1,0,0,0,2,6,30,69,8,16
731,739,1,0,4,5,0,1,0,1,10,2,72,27,15,2
732,731,1,1,3,5,0,0,0,0,9,3,39,60,16,11
733,737,2,0,5,5,1,2,0,0,7,6,65,34,13,16
734,735,3,3,5,4,2,3,0,0,16,1,45,55,26,16
735,738,2,1,3,5,1,3,0,0,5,2,61,38,12,15
736,732,1,1,5,5,1,4,0,1,9,5,72,27,20,9
737,730,0,1,5,4,2,5,1,0,2,5,71,28,11,9
738,733,1,0,5,5,4,2,0,0,2,4,40,59,4,15
739,734,2,0,5,5,3,3,0,0,3,6,48,51,9,10
740,749,1,2,5,4,2,4,1,0,1,1,33,66,11,6
741,748,2,2,4,5,0,3,0,0,10,3,53,46,19,9
742,746,0,0,4,5,0,4,0,0,2,4,48,51,23,8
743,745,2,1,5,3,3,4,0,0,4,6,31,69,15,7
744,747,1,2,5,5,0,1,0,0,8,5,53,46,9,18
745,743,2,1,4,4,4,1,0,0,1,1,50,49,16,10
746,742,3,0,5,5,0,0,0,1,14,3,78,21,28,3
747,741,2,1,2,5,2,2,0,0,6,4,49,50,11,10
748,740,0,1,3,4,1,1,0,0,19,3,64,35,27,6
749,744,1,0,4,5,9,6,0,0,3,3,48,51,13,9
750,758,3,3,5,5,2,4,0,0,7,5,63,36,12,11
751,750,1,1,5,5,3,0,0,1,4,4,61,38,8,10
752,751,3,0,5,5,0,0,0,0,2,6,47,52,8,21
753,752,2,1,5,5,0,1,0,0,5,2,55,44,17,9
754,753,1,1,4,5,2,2,0,0,5,6,64,35,9,15
755,754,2,2,5,3,3,2,0,1,12,1,65,34,22,9
756,755,2,1,4,5,2,2,0,0,2,4,27,72,12,9
757,756,0,0,5,4,1,3,0,0,6,1,79,20,15,4
758,757,1,1,4,5,4,3,0,0,7,4,67,32,12,14
759,759,2,1,5,5,1,5,0,0,5,2,37,63,14,11
