id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
612,612,0,4,5,5,2,1,0,0,0,6,27,72,6,25
613,613,1,0,5,4,1,0,0,0,6,3,66,33,13,11
614,616,2,0,5,5,3,0,0,0,1,7,48,51,18,14
615,617,1,2,4,5,0,1,0,0,4,2,50,49,22,18
616,618,4,4,4,5,1,2,0,0,8,7,56,43,20,10
617,619,5,0,5,5,1,1,0,0,7,0,60,39,21,4
618,620,3,2,4,5,1,2,0,0,4,5,44,55,11,14
619,614,4,1,5,5,1,5,0,0,3,1,46,53,11,10
620,615,1,0,5,5,2,3,0,0,7,3,61,39,9,10
621,622,5,1,5,5,1,1,0,0,4,4,53,46,20,8
622,629,1,4,5,5,2,2,0,1,3,5,73,26,21,13
623,623,1,0,4,4,2,2,0,0,5,5,49,50,23,15
624,628,2,3,4,5,1,5,0,0,10,6,37,62,20,16
625,625,0,3,5,5,2,3,0,0,5,8,40,60,12,24
626,626,1,2,5,5,1,5,0,0,6,1,49,50,13,9
627,627,1,1,5,5,2,1,0,0,5,4,34,65,20,14
628,624,1,1,5,5,3,4,0,1,5,4,39,60,12,7
629,621,3,1,5,5,1,2,0,0,10,4,61,38,19,10
630,630,2,2,3,4,3,3,0,0,3,6,62,37,19,14
631,638,5,0,5,5,1,1,0,0,2,4,48,51,13,13
632,632,5,1,5,5,3,2,0,0,4,2,72,27,25,5
633,637,2,2,5,4,2,2,0,0,3,5,36,63,11,21
634,634,1,2,5,5,0,2,0,0,1,15,35,64,7,25
635,635,3,1,3,5,2,2,0,0,3,3,39,60,10,13
636,636,4,0,5,5,3,2,0,0,1,7,45,54,13,13
637,631,0,3,5,5,3,1,1,0,3,7,35,65,3,14
638,633,1,1,5,5,1,3,0,0,8,1,65,34,13,7
639,639,2,2,5,5,0,3,0,0,7,4,51,48,16,13
640,640,3,0,5,5,0,0,0,0,1,6,54,45,9,16
641,641,2,4,4,5,2,3,1,0,6,8,49,50,15,15
642,642,2,1,5,5,1,0,0,0,3,7,43,56,8,19
643,643,1,3,4,4,1,2,0,0,6,4,39,60,15,15
644,644,1,3,5,5,4,4,1,0,13,4,56,43,18,13
645,645,1,1,5,5,3,2,0,0,8,2,49,50,22,8
646,646,4,2,5,5,1,1,0,0,10,1,41,58,18,11
647,647,3,3,5,5,1,1,1,0,6,6,35,64,15,22
648,656,3,1,5,5,1,6,0,0,5,4,57,42,18,4
649,654,2,1,5,4,2,1,0,0,9,8,47,52,17,14
650,655,2,1,5,5,2,3,1,0,3,4,40,59,5,12
651,653,0,1,5,5,1,1,0,0,11,6,44,55,14,8
652,649,1,0,3,5,0,1,0,0,5,3,64,35,18,7
653,650,0,2,5,5,1,3,0,0,11,6,56,44,22,11
654,648,7,0,5,5,0,1,0,0,8,1,61,38,26,4
655,651,4,1,5,5,1,1,0,0,7,2,71,28,21,2
656,652,0,0,5,4,4,2,0,0,7,3,57,42,12,7
657,662,1,3,5,5,3,5,0,1,4,3,52,47,15,6
658,659,2,0,5,5,1,6,0,1,7,4,54,46,18,8
659,660,0,3,5,5,4,1,0,0,3,1,44,55,10,6
660,661,0,2,4,5,2,1,0,0,8,4,39,60,14,18
661,663,1,3,5,5,2,3,0,0,5,10,58,41,23,27
662,664,1,0,4,5,1,2,0,0,5,7,48,51,10,20
663,657,2,2,5,3,2,5,0,0,5,1,34,65,6,11
664,658,2,0,5,4,2,2,0,0,2,3,53,46,7,13
665,665,4,2,5,5,3,2,0,0,2,4,43,56,14,11
666,671,2,2,5,4,3,1,0,0,10,3,60,39,21,14
667,674,3,1,5,5,1,3,0,0,5,6,59,40,14,12
668,673,1,2,5,5,4,2,0,0,4,4,46,53,18,17
669,667,4,2,5,5,1,1,0,0,4,6,66,33,14,13
670,668,0,0,5,4,2,4,0,0,9,1,76,23,17,9
671,672,2,3,5,4,5,4,0,0,4,4,48,51,13,10
672,670,2,0,5,5,2,3,0,0,3,6,49,50,13,7
673,666,3,0,5,5,1,0,0,0,7,1,70,30,21,2
674,669,3,0,5,5,3,0,0,0,11,4,63,36,23,7
675,675,1,0,5,4,1,5,0,0,10,4,57,42,23,5
676,676,0,3,5,5,2,1,0,0,4,2,42,57,9,10
677,677,2,1,5,5,4,3,0,0,5,2,58,42,17,13
678,678,1,2,4,4,3,5,0,0,4,3,41,58,18,13
679,679,1,3,5,4,3,2,0,0,2,7,38,62,16,13
680,681,1,3,5,4,3,0,0,0,6,3,54,45,14,14
681,683,1,3,4,5,6,3,0,0,6,0,57,42,18,10
682,680,3,1,4,5,0,2,0,1,8,3,60,39,23,5
683,682,2,5,5,4,3,2,0,0,6,5,60,39,15,9
684,690,2,2,5,5,3,3,0,0,5,4,50,49,11,9
685,692,2,3,5,4,2,1,0,0,6,0,73,26,23,7
686,691,3,2,5,5,6,4,1,0,5,5,39,60,8,13
687,689,2,0,4,5,1,4,0,1,3,3,56,43,10,7
688,685,6,0,5,5,2,4,0,1,11,1,62,37,26,6
689,688,2,1,5,5,0,3,0,0,6,4,53,46,13,9
690,684,8,0,5,5,1,2,1,2,7,1,54,46,29,9
691,687,3,3,4,5,3,2,0,0,0,4,39,60,12,14
692,686,2,1,5,4,0,2,0,0,11,4,70,29,18,10
693,701,1,2,4,4,2,5,1,0,11,2,59,40,15,9
694,699,2,3,4,4,3,2,0,0,4,3,47,52,12,9
695,698,1,1,5,5,1,4,0,0,10,2,59,40,26,18
696,697,2,0,5,5,3,1,0,0,2,7,32,67,10,10
697,695,3,3,3,5,2,2,0,0,8,2,59,41,16,10
698,694,0,3,5,5,0,1,0,0,9,1,64,35,11,4
699,693,0,4,5,3,3,2,0,0,3,2,49,50,15,14
700,700,2,0,4,5,2,2,0,0,9,6,31,69,19,17
701,696,2,2,5,3,4,1,1,0,5,2,56,43,14,13
702,705,4,0,5,4,1,3,0,0,8,5,47,53,15,12
703,708,1,1,5,3,1,2,0,0,3,5,33,66,11,12
704,710,0,0,3,3,3,3,0,0,0,5,56,43,10,11
705,709,2,1,5,5,2,3,0,0,6,1,58,41,22,5
706,707,1,1,4,4,4,1,0,0,3,3,51,48,25,11
707,702,4,2,4,5,1,0,0,0,7,2,72,27,19,8
708,704,4,0,5,5,0,1,0,0,10,1,68,31,18,2
709,703,3,1,5,4,2,0,0,0,7,3,62,37,15,9
710,706,2,2,3,5,1,3,0,0,3,7,49,51,13,14
711,716,0,1,5,0,0,1,0,0,3,12,31,68,6,21
712,711,4,2,5,5,1,2,0,0,5,4,51,48,23,10
713,712,1,1,5,5,2,2,0,0,3,4,61,38,15,11
714,713,1,1,3,5,2,0,0,0,11,2,66,33,15,7
715,714,1,2,4,4,0,1,0,0,4,2,57,42,14,11
716,715,2,1,5,3,4,2,0,0,1,12,36,64,10,25
717,718,0,3,5,5,3,1,0,0,1,6,40,59,2,14
718,717,1,1,5,3,4,4,0,0,4,5,53,46,15,13
719,719,0,0,5,2,4,3,0,0,6,5,48,51,9,10
720,728,0,1,5,5,1,3,0,0,1,6,45,54,11,12
721,724,2,1,5,5,2,2,0,0,6,3,49,50,9,19
722,727,2,0,5,5,1,0,0,0,6,7,58,41,19,12
723,721,2,1,4,5,2,2,0,0,5,3,70,29,24,7
724,725,3,1,5,4,6,2,0,0,6,6,43,56,20,16
725,726,2,1,4,5,1,1,0,0,2,4,34,65,8,14
726,723,0,1,5,4,1,1,0,0,14,3,60,39,20,13
727,722,1,1,2,3,3,2,0,0,16,1,68,31,23,6
728,734,3,1,5,5,3,2,0,0,4,5,41,58,17,22
729,729,2,3,4,4,1,3,1,0,6,6,53,46,18,26
730,730,3,1,4,5,1,3,0,0,6,7,37,62,16,11
731,731,5,1,5,5,1,2,0,0,1,9,35,64,14,21
732,732,0,1,4,3,1,4,0,0,5,3,58,41,10,4
733,735,2,0,4,5,1,2,0,0,5,2,48,51,14,11
734,737,3,2,4,5,2,2,0,0,8,3,43,56,16,20
735,733,0,0,5,3,2,4,0,0,1,7,53,46,5,13
