Club,Valor_mercado_total_millones
Bayern München,965.15
Bayer 04 Leverkusen,658.35
RB Leipzig,545.40
Borussia Dortmund,494.80
VfB Stuttgart,346.63
Eintracht Fráncfort,326.65
VfL Wolfsburgo,206.45
SC Friburgo,180.35
TSG 1899 Hoffenheim,176.00
Borussia Mönchengladbach,165.23
1.FC Unión Berlín,160.95
1.FSV Mainz 05,142.88
FC Augsburgo,140.30
SV Werder Bremen,134.93
FC Colonia,81.45
1.FC Heidenheim 1846,66.45
VfL Bochum,64.53
SV Darmstadt 98,38.70
