id_equipo,temporada,liga,nombre
36,2024,bundesliga,Bayer-Leverkusen
37,2024,bundesliga,Stuttgart
38,2024,bundesliga,Bayern-Munchen
39,2024,bundesliga,Rb-Leipzig
40,2024,bundesliga,Borussia-Dortmund
41,2024,bundesliga,Eintracht-Frankfurt
42,2024,bundesliga,Tsg-1899-Hoffenheim
43,2024,bundesliga,Heidenheim
44,2024,bundesliga,Werder-Bremen
45,2024,bundesliga,Sc-Freiburg
46,2024,bundesliga,Fc-Augsburg
47,2024,bundesliga,Wolfsburg
48,2024,bundesliga,Mainz-Amat
49,2024,bundesliga,Borussia-Monchengla
50,2024,bundesliga,1-Fc-Union-Berlin
51,2024,bundesliga,Bochum
52,2024,bundesliga,1-Fc-Koln
53,2024,bundesliga,Darmstadt-98
