Club,Valor_mercado_total_millones
Tottenham Hotspur,838.5
Manchester United,808.35
Aston Villa,709.65
Newcastle United,652.25
Brighton & Hove Albion,524.4
Nottingham Forest,501.35
West Ham United,487.5
Crystal Palace,446.58
Wolverhampton Wanderers,442.73
Brentford FC,428.78
AFC Bournemouth,401.75
Everton FC,391.75
Fulham FC,384.35
