id_equipo,temporada,liga,nombre
40,2024,premier,Manchester-City-Fc
41,2024,premier,Arsenal
42,2024,premier,Liverpool
43,2024,premier,Aston-Villa-Fc
44,2024,premier,Tottenham-Hotspur-Fc
45,2024,premier,Chelsea-Fc
46,2024,premier,Newcastle-United-Fc
47,2024,premier,Manchester-United-Fc
48,2024,premier,West-Ham-United
49,2024,premier,Crystal-Palace-Fc
50,2024,premier,Brighton-Amp-Hov
51,2024,premier,Afc-Bournemouth
52,2024,premier,Fulham
53,2024,premier,Wolverhampton
54,2024,premier,Everton-Fc
55,2024,premier,Brentford
56,2024,premier,Nottingham-Forest-Fc
57,2024,premier,Luton-Town-Fc
58,2024,premier,Burnley-Fc
59,2024,premier,Sheffield-United
