Club,Valor_mercado_total_millones
Manchester City,1460.00
Arsenal FC,1200.00
Chelsea FC,1010.00
Liverpool FC,955.65
Tottenham Hotspur,838.50
Manchester United,808.35
Aston Villa,709.65
Newcastle United,652.25
Brighton & Hove Albion,524.40
Nottingham Forest,501.35
West Ham United,487.50
Crystal Palace,446.58
Wolverhampton Wanderers,442.73
Brentford FC,428.78
AFC Bournemouth,401.75
Everton FC,391.75
Fulham FC,384.35
Burnley FC,273.48
Sheffield United,152.35
Luton Town,140.90
