Club,Valor_mercado_total_millones
Valencia CF,499.65
Sevilla FC,306.3
Real Sociedad,300.95
Real Betis Balompié,290.75
Athletic Club,234.25
RC Celta de Vigo,234.1
Villarreal CF,230.65
RCD Espanyol,174.7
Getafe CF,132.2
CD Leganés,112.45
Deportivo Alavés,110.3
Levante UD,107.85
Girona FC,97.25
SD Eibar,93.9
Rayo Vallecano,86.7
Real Valladolid CF,83.0
SD Huesca,61.4
