Club,Valor_mercado_total_millones
FC Barcelona,1160.00
Atlético de Madrid,969.70
Real Madrid CF,896.10
Valencia CF,499.65
Sevilla FC,306.30
Real Sociedad,300.95
Real Betis Balompié,290.75
Athletic Club,234.25
RC Celta de Vigo,234.10
Villarreal CF,230.65
RCD Espanyol,174.70
Getafe CF,132.20
CD Leganés,112.45
Deportivo Alavés,110.30
Levante UD,107.85
Girona FC,97.25
SD Eibar,93.90
Rayo Vallecano,86.70
Real Valladolid CF,83.00
SD Huesca,61.40
