id_equipo,temporada,liga,nombre
0,2019,primera,Barcelona
1,2019,primera,Atletico-Madrid
2,2019,primera,Real-Madrid
3,2019,primera,Valencia-Cf
4,2019,primera,Getafe
5,2019,primera,Sevilla
6,2019,primera,Espanyol
7,2019,primera,Athletic-Bilbao
8,2019,primera,Real-Sociedad
9,2019,primera,Betis
10,2019,primera,Alaves
11,2019,primera,Eibar
12,2019,primera,Leganes
13,2019,primera,Villarreal
14,2019,primera,Levante
15,2019,primera,Valladolid
16,2019,primera,Celta
17,2019,primera,Girona-Fc
18,2019,primera,Huesca
19,2019,primera,Rayo-Vallecano
